PERSON_ID,ROLE
a52715e7-074b-4368-9de9-67736e01b2f6,ADMIN
a52715e7-074b-4368-9de9-67736e01b2f6,ORGA
a52715e7-074b-4368-9de9-67736e01b2f6,GM
a52715e7-074b-4368-9de9-67736e01b2f6,PERSON
39062d79-e1a9-437a-b1b4-7dc783bd9eb4,PERSON
39062d79-e1a9-437a-b1b4-7dc783bd9eb4,ORGA
39062d79-e1a9-437a-b1b4-7dc783bd9eb4,GM
5a451f02-b2bb-4504-be25-338dd70c2bb1,ORGA
5a451f02-b2bb-4504-be25-338dd70c2bb1,GM
610fd8da-1bbc-477c-8424-44d5e3dd355b,ORGA
610fd8da-1bbc-477c-8424-44d5e3dd355b,GM
610fd8da-1bbc-477c-8424-44d5e3dd355b,PERSON
